symbol
NIFTY 500
LTF
BSE
SWANCORP
GMDCLTD
BLUEJET
CCL
ANGELONE
NETWEB
KFINTECH
CHENNPETRO
RADICO
SHRIRAMFIN
IDEA
MAHABANK
GESHIP
PREMIERENE
POWERINDIA
LICI
THELEELA
BANKINDIA
IDBI
CARBORUNIV
ABCAPITAL
SHYAMMETL
ATHERENERG
AUBANK
CDSL
FIVESTAR
SOBHA
CAMPUS
HINDCOPPER
BAJFINANCE
J&KBANK
GVT&D
ADANIENT
MAPMYINDIA
TATASTEEL
BRITANNIA
VTL
VOLTAS
BAJAJFINSV
MFSL
IOB
SAGILITY
TATAINVEST
ICICIPRULI
WELSPUNLIV
UPL
CENTRALBK
SCI
JINDALSTEL
VEDL
CAMS
UNIONBANK
SAIL
DCMSHRIRAM
APOLLOTYRE
HDFCLIFE
M&MFIN
PAYTM
M&M
MCX
ABFRL
BPCL
FORCEMOT
NBCC
JKTYRE
FINPIPE
COCHINSHIP
HUDCO
NATIONALUM
UCOBANK
CREDITACC
GPIL
POLICYBZR
ICICIBANK
SBILIFE
HINDZINC
SOLARINDS
SARDAEN
BHEL
GICRE
MRPL
PNB
MAZDOCK
CEATLTD
BSOFT
WELCORP
NMDC
GODIGIT
SONACOMS
HBLENGINE
SBFC
RCF
INDUSINDBK
BEL
ENRIN
BATAINDIA
DBREALTY
MINDACORP
NAUKRI
GMRAIRPORT
SYRMA
PETRONET
USHAMART
NEULANDLAB
MUTHOOTFIN
TBOTEK
VMM
IDFCFIRSTB
EICHERMOT
ENGINERSIN
CANBK
IRFC
YESBANK
SUNTV
FORTIS
GAIL
BANKBARODA
ASAHIINDIA
CHOLAFIN
APLAPOLLO
MAXHEALTH
IIFL
INDIANB
PHOENIXLTD
KARURVYSYA
JSL
GRASIM
RBLBANK
IREDA
ZYDUSLIFE
BEML
UNITDSPR
HDFCAMC
MRF
ADANIPORTS
HAL
ICICIGI
RAINBOW
KEI
IPCALAB
AKZOINDIA
TORNTPHARM
INFY
TRIVENI
COALINDIA
MOTILALOFS
NIVABUPA
IKS
TECHNOE
STARHEALTH
ACC
FEDERALBNK
ASTERDM
LUPIN
IEX
JBCHEPHARM
ENDURANCE
BANDHANBNK
ANANDRATHI
GLENMARK
